status,updated,from_status,reporter,when,days_in_from_status,who,to_status,assignee,key,description_length,summary_length,days_in_current_status,days_since_open,project,created,transition,resolutiondate,comment_count,priority,vote_count,issue_type,watch_count,resolution
Closed,2011-12-13T19:10:02.628+0000,Open,anomalizer,2009-06-02T17:11:53.839+0000,0.54123441,cutting,Resolved,,AVRO-43,882,38,3207.337922,0.54123441,AVRO,2009-06-02T04:12:31.186+0000,Open to Resolved,2009-06-02T17:11:53.839+0000,2,Trivial,0,Bug,0,Invalid
Closed,2011-12-13T19:10:02.628+0000,Resolved,anomalizer,2009-07-14T23:04:48.219+0000,42.24507384,cutting,Closed,,AVRO-43,882,38,3207.337922,42.78630825,AVRO,2009-06-02T04:12:31.186+0000,Resolved to Closed,2009-06-02T17:11:53.839+0000,2,Trivial,0,Bug,0,Invalid
Closed,2009-07-14T22:50:10.110+0000,,sbanacho,2009-06-01T23:27:22.143+0000,,sbanacho,Open,sbanacho,AVRO-42,979,8,3207.348086,,AVRO,2009-06-01T23:27:22.143+0000,Non-existent to Open,2009-06-03T00:01:36.711+0000,7,Minor,0,New Feature,1,Fixed
Closed,2009-07-14T22:50:10.110+0000,Open,sbanacho,2009-06-03T00:01:36.711+0000,1.023779722,cutting,Resolved,sbanacho,AVRO-42,979,8,3207.348086,1.023779722,AVRO,2009-06-01T23:27:22.143+0000,Open to Resolved,2009-06-03T00:01:36.711+0000,7,Minor,0,New Feature,1,Fixed
Closed,2009-07-14T22:50:10.110+0000,Resolved,sbanacho,2009-07-14T22:50:10.120+0000,41.95038668,cutting,Closed,sbanacho,AVRO-42,979,8,3207.348086,42.9741664,AVRO,2009-06-01T23:27:22.143+0000,Resolved to Closed,2009-06-03T00:01:36.711+0000,7,Minor,0,New Feature,1,Fixed
Closed,2009-09-16T22:31:44.723+0000,,cutting,2009-06-01T17:54:34.057+0000,,cutting,Open,cutting,AVRO-41,99,58,3143.360879,,AVRO,2009-06-01T17:54:34.057+0000,Non-existent to Open,2009-09-02T18:13:13.435+0000,5,Major,0,New Feature,2,Fixed
Closed,2009-09-16T22:31:44.723+0000,Open,cutting,2009-09-02T18:13:13.435+0000,93.01295576,cutting,Resolved,cutting,AVRO-41,99,58,3143.360879,93.01295576,AVRO,2009-06-01T17:54:34.057+0000,Open to Resolved,2009-09-02T18:13:13.435+0000,5,Major,0,New Feature,2,Fixed
Closed,2009-09-16T22:31:44.723+0000,Resolved,cutting,2009-09-16T22:31:44.758+0000,14.1795292,cutting,Closed,cutting,AVRO-41,99,58,3143.360879,107.192485,AVRO,2009-06-01T17:54:34.057+0000,Resolved to Closed,2009-09-02T18:13:13.435+0000,5,Major,0,New Feature,2,Fixed
Closed,2009-07-14T22:50:10.035+0000,,anomalizer,2009-05-31T07:29:08.540+0000,,anomalizer,Open,cutting,AVRO-40,158,22,3207.348086,,AVRO,2009-05-31T07:29:08.540+0000,Non-existent to Open,2009-06-01T22:33:21.741+0000,1,Major,0,Bug,2,Fixed
Closed,2009-07-14T22:50:10.035+0000,Open,anomalizer,2009-06-01T22:33:21.741+0000,1.627930567,cutting,Resolved,cutting,AVRO-40,158,22,3207.348086,1.627930567,AVRO,2009-05-31T07:29:08.540+0000,Open to Resolved,2009-06-01T22:33:21.741+0000,1,Major,0,Bug,2,Fixed
